Var02,Var03
10685181.53,89.69613846
10478546.7,89.70804047
10376349.71,89.7224466
10371392.71,89.73677441
10342009.72,89.75071243
10360443.18,89.76435178
10341311.24,89.77780545
10361386.77,89.79115107
10344747.94,89.80443537
10363890.02,89.8176852
10348707.83,89.83091575
10366683.72,89.84413554
10352751.37,89.8573493
10369609.48,89.87055972
10356827.48,89.88376826
10372645.2,89.89697576
10360932.5,89.91018268
10375785.68,89.92338927
10365068.39,89.93659568
10379027.96,89.94980198
10369237.61,89.96300824
10382369.53,89.97621446
10373442.55,89.98942066
10385808.08,90.00262685
10377685.41,90.01583304
10389341.47,90.02903922
10381968.27,90.04224541
10392967.72,90.05545159
10386293.04,90.06865777
10396684.97,90.08186395
10390661.5,90.09507013
10400491.52,90.10827631
10395075.3,90.12148249
10404385.77,90.13468867
10399535.98,90.14789485
10408366.24,90.16110103
10404044.95,90.17430722
10412431.56,90.1875134
10408603.55,90.20071958
10416580.45,90.21392576
10413213.01,90.22713194
10420811.73,90.24033812
10417874.46,90.2535443
10425124.3,90.26675048
10422588.97,90.27995666
10429517.12,90.29316284
10427357.52,90.30636902
10433989.26,90.3195752
10432181.04,90.33278138
10438539.83,90.34598756
10437060.37,90.35919374
10443168.01,90.37239992
10441996.29,90.3856061
10447873.04,90.39881229
10446989.55,90.41201847
10452654.22,90.42522465
10452040.83,90.43843083
10457510.88,90.45163701
10457150.75,90.46484319
10462442.41,90.47804937
10462319.91,90.49125555
10467448.25,90.50446173
10467548.85,90.51766791
10472527.88,90.53087409
10472838.08,90.54408027
10477680.8,90.55728645
10478188.07,90.57049263
10482906.56,90.58369881
10483599.26,90.59690499
10488204.74,90.61011117
10489072.05,90.62331736
10493574.94,90.63652354
10494606.83,90.64972972
10499016.81,90.6629359
10500203.94,90.67614208
10504530,90.68934826
10505863.71,90.70255444
10510114.2,90.71576062
10511586.44,90.7289668
10515769.12,90.74217298
10517372.42,90.75537916
10521494.49,90.76858534
10523221.89,90.78179152
10527290.05,90.7949977
10529135.12,90.80820388
10533155.58,90.82141006
10535112.31,90.83461624
10539090.85,90.84782243
10541153.68,90.86102861
10545095.66,90.87423479
10547259.43,90.88744097
10551169.84,90.90064715
10553429.74,90.91385333
10557313.19,90.92705951
10559664.77,90.94026569
10563525.56,90.95347187
10565964.67,90.96667805
10569806.81,90.97988423
10572329.6,90.99309041
10576156.79,91.00629659
10578759.69,91.01950277
10582575.37,91.03270895
10585255.06,91.04591513
10589062.43,91.05912131
10591815.83,91.0723275
10595617.86,91.08553368
10598442.11,91.09873986
10602241.56,91.11194604
10605133.99,91.12515222
10608933.43,91.1383584
10611891.57,91.15156458
10615693.38,91.16477076
10618714.93,91.17797694
10622521.32,91.19118312
10625604.16,91.2043893
10629417.19,91.21759548
10632559.34,91.23080166
10636380.9,91.24400784
10639580.52,91.25721402
10643412.4,91.2704202
10646667.77,91.28362638
10650511.61,91.29683257
10653821.15,91.31003875
10657678.49,91.32324493
10661040.73,91.33645111
10664912.97,91.34965729
10668326.54,91.36286347
10672215.02,91.37606965
10675678.64,91.38927583
10679584.58,91.40248201
10683097.08,91.41568819
10687021.6,91.42889437
10690581.88,91.44210055
10694526.06,91.45530673
10698133.1,91.46851291
10702097.92,91.48171909
10705750.77,91.49492527
10709737.13,91.50813145
10713434.91,91.52133764
10717443.67,91.53454382